Gene,Pfam,MSA
GA4805AA_02526,PF03600,Inter-strain
GA4805AA_00936,PF00266,Inter-strain
GA4805AA_02705,PF00860,Inter-strain
GA4805AA_04877,PF01695,Inter-strain
GA4805AA_04603,PF00455,Inter-strain
GA4805AA_01976,PF01618,Inter-strain
GA4805AA_01736,PF07869,Inter-strain
GA4805AA_04582,PF01119,Inter-strain
GA4805AA_00103,PF03884,Inter-strain
GA4805AA_04639,PF01103,Inter-strain
GA4805AA_03209,PF00633,Inter-strain
GA4805AA_00739,PF10509,Inter-strain
GA4805AA_04516,PF00486,Inter-strain
GA4805AA_03211,PF11873,Inter-strain
GA4805AA_03898,PF00528,Inter-strain
GA4805AA_04435,PF03796,Inter-strain
GA4805AA_01142,PF07559,Inter-strain
GA4805AA_01730,PF01479,Inter-strain
GA4805AA_00220,PF01464,Inter-strain
GA4805AA_01897,PF04715,Inter-strain
GA4805AA_03688,PF14492,Inter-strain
GA4805AA_02201,PF02654,Inter-strain
GA4805AA_01902,PF03830,Inter-strain
GA4805AA_03167,PF02800,Inter-strain
GA4805AA_01730,PF00579,Inter-strain
GA4805AA_00059,PF12137,Inter-strain
GA4805AA_03538,PF01016,Inter-strain
GA4805AA_00073,PF13343,Inter-strain
GA4805AA_03456,PF13721,Inter-strain
GA4805AA_03704,PF00485,Inter-strain
GA4805AA_00999,PF00575,Inter-strain
GA4805AA_01744,PF00903,Inter-strain
GA4805AA_02559,PF04315,Inter-strain
GA4805AA_01146,PF02119,Inter-strain
GA4805AA_03920,PF02782,Inter-strain
GA4805AA_02548,PF02875,Inter-strain
GA4805AA_01978,PF05247,Inter-strain
GA4805AA_00141,PF02548,Inter-strain
GA4805AA_03795,PF00005,Inter-strain
GA4805AA_03823,PF01402,Inter-strain
GA4805AA_03753,PF07670,Inter-strain
GA4805AA_03550,PF00571,Inter-strain
GA4805AA_02926,PF03829,Inter-strain
GA4805AA_04256,PF02580,Inter-strain
GA4805AA_04335,PF14698,Inter-strain
GA4805AA_00422,PF02779,Inter-strain
GA4805AA_00097,PF14450,Inter-strain
GA4805AA_02943,PF00374,Inter-strain
GA4805AA_01361,PF00384,Inter-strain
GA4805AA_03146,PF01597,Inter-strain
GA4805AA_02946,PF13247,Inter-strain
GA4805AA_00191,PF13720,Inter-strain
GA4805AA_04043,PF02656,Inter-strain
GA4805AA_01703,PF05681,Inter-strain
GA4805AA_02516,PF13510,Inter-strain
GA4805AA_04108,PF07728,Inter-strain
GA4805AA_04416,PF08402,Inter-strain
GA4805AA_01139,PF00460,Inter-strain
GA4805AA_00381,PF07759,Inter-strain
GA4805AA_02560,PF01925,Inter-strain
GA4805AA_04656,PF11941,Inter-strain
GA4805AA_00842,PF00528,Inter-strain
GA4805AA_02796,PF02861,Inter-strain
GA4805AA_03211,PF01464,Inter-strain
GA4805AA_01123,PF00033,Inter-strain
GA4805AA_03994,PF02441,Inter-strain
GA4805AA_01564,PF13617,Inter-strain
GA4805AA_00041,PF01012,Inter-strain
GA4805AA_01600,PF04657,Inter-strain
GA4805AA_01652,PF04960,Inter-strain
GA4805AA_02517,PF01512,Inter-strain
GA4805AA_03628,PF07369,Inter-strain
GA4805AA_01056,PF01750,Inter-strain
GA4805AA_04349,PF08279,Inter-strain
GA4805AA_03539,PF00829,Inter-strain
GA4805AA_03634,PF01327,Inter-strain
GA4805AA_03688,PF00679,Inter-strain
GA4805AA_02805,PF13689,Inter-strain
GA4805AA_01836,PF04996,Inter-strain
GA4805AA_00473,PF13662,Inter-strain
GA4805AA_03663,PF00237,Inter-strain
GA4805AA_02442,PF04879,Inter-strain
GA4805AA_00756,PF00202,Inter-strain
GA4805AA_01975,PF13677,Inter-strain
GA4805AA_02888,PF11127,Inter-strain
GA4805AA_03474,PF01228,Inter-strain
GA4805AA_02055,PF02151,Inter-strain
GA4805AA_01882,PF04343,Inter-strain
GA4805AA_03900,PF00496,Inter-strain
GA4805AA_02574,PF02803,Inter-strain
GA4805AA_01914,PF11818,Inter-strain
GA4805AA_04673,PF08264,Inter-strain
GA4805AA_03007,PF04607,Inter-strain
GA4805AA_03586,PF13533,Inter-strain
GA4805AA_00600,PF13508,Inter-strain
GA4805AA_03462,PF13410,Inter-strain
GA4805AA_00739,PF08544,Inter-strain
GA4805AA_01694,PF01262,Inter-strain
GA4805AA_00081,PF00205,Inter-strain
GA4805AA_01802,PF00005,Inter-strain
GA4805AA_03991,PF00471,Inter-strain
GA4805AA_01106,PF10627,Inter-strain
GA4805AA_00600,PF08218,Inter-strain
GA4805AA_01191,PF08402,Inter-strain
GA4805AA_01275,PF05209,Inter-strain
GA4805AA_00932,PF01228,Inter-strain
GA4805AA_04365,PF05690,Inter-strain
GA4805AA_01721,PF14697,Inter-strain
GA4805AA_02562,PF01264,Inter-strain
GA4805AA_03451,PF04295,Inter-strain
GA4805AA_00391,PF01202,Inter-strain
GA4805AA_04847,PF01979,Inter-strain
GA4805AA_02978,PF01507,Inter-strain
GA4805AA_03147,PF01571,Inter-strain
GA4805AA_04613,PF00436,Inter-strain
GA4805AA_04662,PF02729,Inter-strain
GA4805AA_00707,PF00198,Inter-strain
GA4805AA_01774,PF01458,Inter-strain
GA4805AA_00589,PF00070,Inter-strain
GA4805AA_00055,PF00639,Inter-strain
GA4805AA_03465,PF02678,Inter-strain
GA4805AA_00179,PF00889,Inter-strain
GA4805AA_00431,PF03626,Inter-strain
GA4805AA_04127,PF01063,Inter-strain
GA4805AA_01924,PF05425,Inter-strain
GA4805AA_02552,PF02774,Inter-strain
GA4805AA_02432,PF01578,Inter-strain
GA4805AA_00709,PF02629,Inter-strain
GA4805AA_02537,PF02152,Inter-strain
GA4805AA_01349,PF13371,Inter-strain
GA4805AA_02306,PF00692,Inter-strain
GA4805AA_00740,PF01087,Inter-strain
GA4805AA_00866,PF03588,Inter-strain
GA4805AA_03521,PF00009,Inter-strain
GA4805AA_03034,PF02657,Inter-strain
GA4805AA_03846,PF03960,Inter-strain
GA4805AA_04362,PF10385,Inter-strain
GA4805AA_01777,PF01521,Inter-strain
GA4805AA_03842,PF01432,Inter-strain
GA4805AA_02748,PF01306,Inter-strain
GA4805AA_02476,PF04324,Inter-strain
GA4805AA_01811,PF00587,Inter-strain
GA4805AA_03136,PF13098,Inter-strain
GA4805AA_03635,PF02911,Inter-strain
GA4805AA_04328,PF02302,Inter-strain
GA4805AA_01181,PF12704,Inter-strain
GA4805AA_04305,PF07724,Inter-strain
GA4805AA_03730,PF02086,Inter-strain
GA4805AA_00673,PF02880,Inter-strain
GA4805AA_03914,PF05746,Inter-strain
GA4805AA_00589,PF13192,Inter-strain
GA4805AA_04450,PF01894,Inter-strain
GA4805AA_04034,PF02518,Inter-strain
GA4805AA_02894,PF07972,Inter-strain
GA4805AA_04064,PF02768,Inter-strain
GA4805AA_04168,PF00589,Inter-strain
GA4805AA_00651,PF13344,Inter-strain
GA4805AA_01021,PF00005,Inter-strain
GA4805AA_01512,PF00496,Inter-strain
GA4805AA_02775,PF06421,Inter-strain
GA4805AA_03573,PF04386,Inter-strain
GA4805AA_04615,PF01281,Inter-strain
GA4805AA_02535,PF13417,Inter-strain
GA4805AA_02492,PF01522,Inter-strain
GA4805AA_00402,PF00989,Inter-strain
GA4805AA_00163,PF01497,Inter-strain
GA4805AA_03694,PF13309,Inter-strain
GA4805AA_00031,PF00988,Inter-strain
GA4805AA_01144,PF06429,Inter-strain
GA4805AA_00602,PF12431,Inter-strain
GA4805AA_00471,PF13177,Inter-strain
GA4805AA_00426,PF01965,Inter-strain
GA4805AA_04042,PF02656,Inter-strain
GA4805AA_00708,PF00549,Inter-strain
GA4805AA_02419,PF01479,Inter-strain
GA4805AA_04639,PF07244,Inter-strain
GA4805AA_01494,PF00215,Inter-strain
GA4805AA_03531,PF06480,Inter-strain
GA4805AA_00594,PF00939,Inter-strain
GA4805AA_03014,PF00849,Inter-strain
GA4805AA_04065,PF11638,Inter-strain
GA4805AA_03773,PF00534,Inter-strain
GA4805AA_00168,PF03458,Inter-strain
GA4805AA_04300,PF02782,Inter-strain
GA4805AA_00122,PF07992,Inter-strain
GA4805AA_02690,PF07687,Inter-strain
GA4805AA_04879,PF12821,Inter-strain
GA4805AA_01810,PF05198,Inter-strain
GA4805AA_00432,PF00510,Inter-strain
GA4805AA_04105,PF01037,Inter-strain
GA4805AA_01619,PF13247,Inter-strain
GA4805AA_01364,PF02665,Inter-strain
GA4805AA_00683,PF03441,Inter-strain
GA4805AA_04068,PF02096,Inter-strain
GA4805AA_02982,PF01507,Inter-strain
GA4805AA_01122,PF04264,Inter-strain
GA4805AA_03576,PF00572,Inter-strain
GA4805AA_02952,PF00586,Inter-strain
GA4805AA_04907,PF13481,Inter-strain
GA4805AA_00082,PF13710,Inter-strain
GA4805AA_04216,PF01026,Inter-strain
GA4805AA_01721,PF04060,Inter-strain
GA4805AA_01597,PF00171,Inter-strain
GA4805AA_02388,PF04235,Inter-strain
GA4805AA_03758,PF01106,Inter-strain
GA4805AA_03549,PF01699,Inter-strain
GA4805AA_03967,PF00581,Inter-strain
GA4805AA_03960,PF07729,Inter-strain
GA4805AA_01012,PF16330,Inter-strain
GA4805AA_02574,PF00108,Inter-strain
GA4805AA_01847,PF00005,Inter-strain
GA4805AA_04379,PF00158,Inter-strain
GA4805AA_01532,PF04317,Inter-strain
GA4805AA_01113,PF13091,Inter-strain
GA4805AA_04301,PF00230,Inter-strain
GA4805AA_03452,PF02614,Inter-strain
GA4805AA_02796,PF07724,Inter-strain
GA4805AA_03919,PF05360,Inter-strain
GA4805AA_03717,PF14824,Inter-strain
GA4805AA_03781,PF02447,Inter-strain
GA4805AA_00289,PF00696,Inter-strain
GA4805AA_03701,PF12848,Inter-strain
GA4805AA_04388,PF00463,Inter-strain
GA4805AA_01188,PF13343,Inter-strain
GA4805AA_04138,PF00953,Inter-strain
GA4805AA_02984,PF00667,Inter-strain
GA4805AA_04647,PF02653,Inter-strain
GA4805AA_00636,PF00795,Inter-strain
GA4805AA_03691,PF04077,Inter-strain
GA4805AA_00623,PF00133,Inter-strain
GA4805AA_01140,PF06429,Inter-strain
GA4805AA_01141,PF13861,Inter-strain
GA4805AA_04571,PF12795,Inter-strain
GA4805AA_04160,PF02602,Inter-strain
GA4805AA_02697,PF06804,Inter-strain
GA4805AA_03555,PF00309,Inter-strain
GA4805AA_03426,PF08278,Inter-strain
GA4805AA_02774,PF10502,Inter-strain
GA4805AA_00522,PF11392,Inter-strain
GA4805AA_00370,PF00107,Inter-strain
GA4805AA_01854,PF02769,Inter-strain
GA4805AA_04895,PF01734,Inter-strain
GA4805AA_00162,PF00005,Inter-strain
GA4805AA_03757,PF00156,Inter-strain
GA4805AA_03652,PF00861,Inter-strain
GA4805AA_03897,PF00005,Inter-strain
GA4805AA_01144,PF00460,Inter-strain
GA4805AA_04092,PF12804,Inter-strain
GA4805AA_00619,PF00300,Inter-strain
GA4805AA_01346,PF03462,Inter-strain
GA4805AA_03467,PF03313,Inter-strain
GA4805AA_01936,PF00479,Inter-strain
GA4805AA_03151,PF03695,Inter-strain
GA4805AA_04271,PF00384,Inter-strain
GA4805AA_03790,PF08402,Inter-strain
GA4805AA_02478,PF13183,Inter-strain
GA4805AA_00653,PF01979,Inter-strain
GA4805AA_01156,PF08545,Inter-strain
GA4805AA_00059,PF00271,Inter-strain
GA4805AA_01181,PF02687,Inter-strain
GA4805AA_04091,PF01380,Inter-strain
GA4805AA_02777,PF03888,Inter-strain
GA4805AA_01029,PF02926,Inter-strain
GA4805AA_01194,PF02518,Inter-strain
GA4805AA_02380,PF02698,Inter-strain
GA4805AA_03808,PF06611,Inter-strain
GA4805AA_01471,PF00291,Inter-strain
GA4805AA_02693,PF05127,Inter-strain
GA4805AA_01136,PF05130,Inter-strain
GA4805AA_03377,PF00512,Inter-strain
GA4805AA_04518,PF13520,Inter-strain
GA4805AA_03389,PF02518,Inter-strain
GA4805AA_03010,PF13378,Inter-strain
GA4805AA_03567,PF04074,Inter-strain
GA4805AA_00525,PF00731,Inter-strain
GA4805AA_00055,PF13616,Inter-strain
GA4805AA_02969,PF01135,Inter-strain
GA4805AA_03207,PF04320,Inter-strain
GA4805AA_01197,PF04356,Inter-strain
GA4805AA_04524,PF05683,Inter-strain
GA4805AA_03085,PF07963,Inter-strain
GA4805AA_02335,PF03747,Inter-strain
GA4805AA_04141,PF00984,Inter-strain
GA4805AA_01785,PF08501,Inter-strain
GA4805AA_03643,PF01000,Inter-strain
GA4805AA_03554,PF12399,Inter-strain
GA4805AA_00601,PF00989,Inter-strain
GA4805AA_03033,PF00266,Inter-strain
GA4805AA_00289,PF01472,Inter-strain
GA4805AA_03990,PF06827,Inter-strain
GA4805AA_03659,PF00366,Inter-strain
GA4805AA_00150,PF01743,Inter-strain
GA4805AA_02470,PF00317,Inter-strain
GA4805AA_01807,PF02912,Inter-strain
GA4805AA_00706,PF16870,Inter-strain
GA4805AA_02911,PF13419,Inter-strain
GA4805AA_01533,PF05128,Inter-strain
GA4805AA_04413,PF00528,Inter-strain
GA4805AA_00868,PF00005,Inter-strain
GA4805AA_01767,PF13237,Inter-strain
GA4805AA_01390,PF04269,Inter-strain
GA4805AA_04547,PF11412,Inter-strain
GA4805AA_04606,PF02302,Inter-strain
GA4805AA_03193,PF02622,Inter-strain
GA4805AA_03370,PF07732,Inter-strain
GA4805AA_00471,PF12170,Inter-strain
GA4805AA_01981,PF02358,Inter-strain
GA4805AA_00470,PF00156,Inter-strain
GA4805AA_00450,PF00664,Inter-strain
GA4805AA_03707,PF12805,Inter-strain
GA4805AA_01824,PF04794,Inter-strain
GA4805AA_02265,PF00117,Inter-strain
GA4805AA_03834,PF13437,Inter-strain
GA4805AA_00441,PF00004,Inter-strain
GA4805AA_04361,PF00542,Inter-strain
GA4805AA_03509,PF00583,Inter-strain
GA4805AA_00926,PF00384,Inter-strain
GA4805AA_02416,PF00005,Inter-strain
GA4805AA_00468,PF07445,Inter-strain
GA4805AA_01918,PF02470,Inter-strain
GA4805AA_04141,PF03720,Inter-strain
GA4805AA_02055,PF01541,Inter-strain
GA4805AA_03849,PF00196,Inter-strain
GA4805AA_03480,PF14833,Inter-strain
GA4805AA_02771,PF11967,Inter-strain
GA4805AA_00509,PF01614,Inter-strain
GA4805AA_01389,PF00005,Inter-strain
GA4805AA_04070,PF01212,Inter-strain
GA4805AA_01859,PF00857,Inter-strain
GA4805AA_01702,PF00206,Inter-strain
GA4805AA_02943,PF00346,Inter-strain
GA4805AA_02382,PF13450,Inter-strain
GA4805AA_04117,PF07729,Inter-strain
GA4805AA_00531,PF13275,Inter-strain
GA4805AA_02811,PF00886,Inter-strain
GA4805AA_03748,PF02518,Inter-strain
GA4805AA_00718,PF03061,Inter-strain
GA4805AA_00836,PF08402,Inter-strain
GA4805AA_01510,PF12911,Inter-strain
GA4805AA_01481,PF02572,Inter-strain
GA4805AA_00189,PF00132,Inter-strain
GA4805AA_03642,PF01196,Inter-strain
GA4805AA_02775,PF03144,Inter-strain
GA4805AA_01534,PF13188,Inter-strain
GA4805AA_02767,PF01418,Inter-strain
GA4805AA_03210,PF04362,Inter-strain
GA4805AA_03135,PF02272,Inter-strain
GA4805AA_03529,PF00408,Inter-strain
GA4805AA_02694,PF04228,Inter-strain
GA4805AA_04094,PF02874,Inter-strain
GA4805AA_01516,PF06667,Inter-strain
GA4805AA_03961,PF01070,Inter-strain
GA4805AA_03728,PF00702,Inter-strain
GA4805AA_00757,PF04055,Inter-strain
GA4805AA_03389,PF01751,Inter-strain
GA4805AA_03481,PF03328,Inter-strain
GA4805AA_03427,PF04545,Inter-strain
GA4805AA_04333,PF01118,Inter-strain
GA4805AA_00578,PF00106,Inter-strain
GA4805AA_02444,PF00037,Inter-strain
GA4805AA_02478,PF02754,Inter-strain
GA4805AA_03822,PF00005,Inter-strain
GA4805AA_01036,PF05362,Inter-strain
GA4805AA_00053,PF00398,Inter-strain
GA4805AA_04038,PF01842,Inter-strain
GA4805AA_03996,PF00440,Inter-strain
GA4805AA_03020,PF03315,Inter-strain
GA4805AA_03007,PF13291,Inter-strain
GA4805AA_02573,PF00378,Inter-strain
GA4805AA_02499,PF00378,Inter-strain
GA4805AA_00799,PF02742,Inter-strain
GA4805AA_00719,PF01618,Inter-strain
GA4805AA_00611,PF03099,Inter-strain
GA4805AA_01875,PF04285,Inter-strain
GA4805AA_04269,PF13247,Inter-strain
GA4805AA_01183,PF12704,Inter-strain
GA4805AA_03566,PF13450,Inter-strain
GA4805AA_03503,PF04972,Inter-strain
GA4805AA_01010,PF03882,Inter-strain
GA4805AA_00596,PF03802,Inter-strain
GA4805AA_02904,PF00529,Inter-strain
GA4805AA_02470,PF03477,Inter-strain
GA4805AA_00873,PF00004,Inter-strain
GA4805AA_03340,PF01455,Inter-strain
GA4805AA_04585,PF01926,Inter-strain
GA4805AA_04210,PF01209,Inter-strain
GA4805AA_03381,PF02525,Inter-strain
GA4805AA_02313,PF00092,Inter-strain
GA4805AA_03089,PF01590,Inter-strain
GA4805AA_00063,PF02782,Inter-strain
GA4805AA_02395,PF01261,Inter-strain
GA4805AA_03774,PF00483,Inter-strain
GA4805AA_03421,PF05681,Inter-strain
GA4805AA_01002,PF00005,Inter-strain
GA4805AA_03650,PF00327,Inter-strain
GA4805AA_03834,PF13533,Inter-strain
GA4805AA_00097,PF02491,Inter-strain
GA4805AA_03644,PF01479,Inter-strain
GA4805AA_00851,PF01212,Inter-strain
GA4805AA_04228,PF03205,Inter-strain
GA4805AA_00575,PF00425,Inter-strain
GA4805AA_03915,PF02091,Inter-strain
GA4805AA_03790,PF00005,Inter-strain
GA4805AA_00105,PF01121,Inter-strain
GA4805AA_02517,PF10589,Inter-strain
GA4805AA_03693,PF02635,Inter-strain
GA4805AA_01168,PF01230,Inter-strain
GA4805AA_01612,PF02613,Inter-strain
GA4805AA_01585,PF03595,Inter-strain
GA4805AA_00087,PF03717,Inter-strain
GA4805AA_03133,PF00152,Inter-strain
GA4805AA_03454,PF07729,Inter-strain
GA4805AA_02432,PF16327,Inter-strain
GA4805AA_01601,PF13420,Inter-strain
GA4805AA_03572,PF00392,Inter-strain
GA4805AA_00098,PF00091,Inter-strain
GA4805AA_02723,PF14714,Inter-strain
GA4805AA_00101,PF07516,Inter-strain
GA4805AA_01582,PF04325,Inter-strain
GA4805AA_00438,PF05697,Inter-strain
GA4805AA_03706,PF00325,Inter-strain
GA4805AA_03953,PF01232,Inter-strain
GA4805AA_02503,PF05957,Inter-strain
GA4805AA_04277,PF06134,Inter-strain
GA4805AA_03714,PF00070,Inter-strain
GA4805AA_01967,PF04344,Inter-strain
GA4805AA_00621,PF14840,Inter-strain
GA4805AA_02645,PF00381,Inter-strain
GA4805AA_00928,PF04976,Inter-strain
GA4805AA_02438,PF03264,Inter-strain
GA4805AA_01032,PF02470,Inter-strain
GA4805AA_02498,PF13378,Inter-strain
GA4805AA_03789,PF03009,Inter-strain
GA4805AA_02646,PF02896,Inter-strain
GA4805AA_00032,PF02142,Inter-strain
GA4805AA_01029,PF01170,Inter-strain
GA4805AA_00868,PF00664,Inter-strain
GA4805AA_00150,PF12626,Inter-strain
GA4805AA_00614,PF03330,Inter-strain
GA4805AA_03898,PF12911,Inter-strain
GA4805AA_04218,PF01977,Inter-strain
GA4805AA_04103,PF13932,Inter-strain
GA4805AA_02382,PF14691,Inter-strain
GA4805AA_04363,PF05000,Inter-strain
GA4805AA_00852,PF02775,Inter-strain
GA4805AA_00099,PF03331,Inter-strain
GA4805AA_03370,PF07731,Inter-strain
GA4805AA_04592,PF00588,Inter-strain
GA4805AA_04242,PF00158,Inter-strain
GA4805AA_00416,PF00383,Inter-strain
GA4805AA_00039,PF00441,Inter-strain
GA4805AA_03572,PF07729,Inter-strain
GA4805AA_00440,PF07724,Inter-strain
GA4805AA_01806,PF01588,Inter-strain
GA4805AA_01140,PF00460,Inter-strain
GA4805AA_04229,PF12804,Inter-strain
GA4805AA_01347,PF13847,Inter-strain
GA4805AA_03630,PF01300,Inter-strain
GA4805AA_00706,PF00676,Inter-strain
GA4805AA_02972,PF02542,Inter-strain
GA4805AA_03377,PF02518,Inter-strain
GA4805AA_01509,PF00005,Inter-strain
GA4805AA_04093,PF00401,Inter-strain
GA4805AA_01041,PF12805,Inter-strain
GA4805AA_03640,PF00376,Inter-strain
GA4805AA_04916,PF00072,Inter-strain
GA4805AA_00416,PF01872,Inter-strain
GA4805AA_03639,PF03889,Inter-strain
GA4805AA_02702,PF01435,Inter-strain
GA4805AA_00576,PF00501,Inter-strain
GA4805AA_04889,PF03603,Inter-strain
GA4805AA_00770,PF03706,Inter-strain
GA4805AA_04349,PF02237,Inter-strain
GA4805AA_03154,PF02826,Inter-strain
GA4805AA_04268,PF00033,Inter-strain
GA4805AA_01025,PF03358,Inter-strain
GA4805AA_03475,PF00871,Inter-strain
GA4805AA_00203,PF04170,Inter-strain
GA4805AA_02500,PF12697,Inter-strain
GA4805AA_02264,PF08645,Inter-strain
GA4805AA_03341,PF01155,Inter-strain
GA4805AA_01803,PF00255,Inter-strain
GA4805AA_03427,PF04539,Inter-strain
GA4805AA_04333,PF02774,Inter-strain
GA4805AA_01159,PF00550,Inter-strain
GA4805AA_00135,PF03610,Inter-strain
GA4805AA_03661,PF00252,Inter-strain
GA4805AA_03637,PF02080,Inter-strain
GA4805AA_00763,PF04055,Inter-strain
GA4805AA_03519,PF16198,Inter-strain
GA4805AA_00024,PF06827,Inter-strain
GA4805AA_03184,PF02784,Inter-strain
GA4805AA_02903,PF01047,Inter-strain
GA4805AA_03103,PF00106,Inter-strain
GA4805AA_03593,PF04093,Inter-strain
GA4805AA_03749,PF00486,Inter-strain
GA4805AA_04525,PF03605,Inter-strain
GA4805AA_04348,PF02873,Inter-strain
GA4805AA_03005,PF06418,Inter-strain
GA4805AA_03472,PF03315,Inter-strain
GA4805AA_01054,PF00374,Inter-strain
GA4805AA_00194,PF14579,Inter-strain
GA4805AA_03585,PF04632,Inter-strain
GA4805AA_03968,PF01676,Inter-strain
GA4805AA_04094,PF00306,Inter-strain
GA4805AA_01011,PF04288,Inter-strain
GA4805AA_01030,PF00005,Inter-strain
GA4805AA_00051,PF00149,Inter-strain
GA4805AA_00042,PF01012,Inter-strain
GA4805AA_04558,PF09285,Inter-strain
GA4805AA_00093,PF03033,Inter-strain
GA4805AA_01196,PF00206,Inter-strain
GA4805AA_04423,PF00717,Inter-strain
GA4805AA_02618,PF02302,Inter-strain
GA4805AA_03688,PF03764,Inter-strain
GA4805AA_04379,PF02954,Inter-strain
GA4805AA_03753,PF02421,Inter-strain
GA4805AA_00190,PF07977,Inter-strain
GA4805AA_01156,PF08541,Inter-strain
GA4805AA_03080,PF12705,Inter-strain
GA4805AA_04300,PF00370,Inter-strain
GA4805AA_04313,PF01053,Inter-strain
GA4805AA_01936,PF02781,Inter-strain
GA4805AA_04362,PF00562,Inter-strain
GA4805AA_03717,PF13241,Inter-strain
GA4805AA_00441,PF05362,Inter-strain
GA4805AA_03905,PF03352,Inter-strain
GA4805AA_04517,PF00884,Inter-strain
GA4805AA_03427,PF03979,Inter-strain
GA4805AA_01696,PF13520,Inter-strain
GA4805AA_01970,PF03705,Inter-strain
GA4805AA_03574,PF13417,Inter-strain
GA4805AA_02819,PF03658,Inter-strain
GA4805AA_04349,PF03099,Inter-strain
GA4805AA_00528,PF00160,Inter-strain
GA4805AA_00079,PF08502,Inter-strain
GA4805AA_02200,PF02277,Inter-strain
GA4805AA_00027,PF02401,Inter-strain
GA4805AA_01147,PF01832,Inter-strain
GA4805AA_01780,PF02913,Inter-strain
GA4805AA_02725,PF09976,Inter-strain
GA4805AA_02703,PF03960,Inter-strain
GA4805AA_00209,PF00528,Inter-strain
GA4805AA_00152,PF01258,Inter-strain
GA4805AA_00101,PF01043,Inter-strain
GA4805AA_01172,PF00933,Inter-strain
GA4805AA_00177,PF00557,Inter-strain
GA4805AA_00001,PF00696,Inter-strain
GA4805AA_02651,PF12857,Inter-strain
GA4805AA_00400,PF00149,Inter-strain
GA4805AA_02436,PF03379,Inter-strain
GA4805AA_03025,PF02952,Inter-strain
GA4805AA_00434,PF00116,Inter-strain
GA4805AA_02552,PF01118,Inter-strain
GA4805AA_04003,PF01192,Inter-strain
GA4805AA_00844,PF00497,Inter-strain
GA4805AA_03361,PF04728,Inter-strain
GA4805AA_01000,PF00216,Inter-strain
GA4805AA_00024,PF00133,Inter-strain
GA4805AA_03766,PF01694,Inter-strain
GA4805AA_04286,PF00486,Inter-strain
GA4805AA_00134,PF01061,Inter-strain
GA4805AA_04306,PF00227,Inter-strain
GA4805AA_00709,PF00549,Inter-strain
GA4805AA_00601,PF14827,Inter-strain
GA4805AA_02941,PF01058,Inter-strain
GA4805AA_04034,PF05231,Inter-strain
GA4805AA_01495,PF01253,Inter-strain
GA4805AA_04375,PF00216,Inter-strain
GA4805AA_01925,PF04234,Inter-strain
GA4805AA_04522,PF11975,Inter-strain
GA4805AA_03150,PF00557,Inter-strain
GA4805AA_01772,PF02657,Inter-strain
GA4805AA_01941,PF01476,Inter-strain
GA4805AA_04092,PF00132,Inter-strain
GA4805AA_04223,PF09186,Inter-strain
GA4805AA_00002,PF00288,Inter-strain
GA4805AA_03154,PF01842,Inter-strain
GA4805AA_04168,PF02899,Inter-strain
GA4805AA_04372,PF01208,Inter-strain
GA4805AA_00808,PF03454,Inter-strain
GA4805AA_01012,PF04310,Inter-strain
GA4805AA_00599,PF06857,Inter-strain
GA4805AA_00072,PF00528,Inter-strain
GA4805AA_00620,PF01467,Inter-strain
GA4805AA_03546,PF02470,Inter-strain
GA4805AA_03165,PF01116,Inter-strain
GA4805AA_04369,PF01964,Inter-strain
GA4805AA_03795,PF12399,Inter-strain
GA4805AA_03520,PF02033,Inter-strain
GA4805AA_00424,PF02609,Inter-strain
GA4805AA_04267,PF04216,Inter-strain
GA4805AA_04900,PF02885,Inter-strain
GA4805AA_03897,PF08352,Inter-strain
GA4805AA_00633,PF00528,Inter-strain
GA4805AA_01829,PF02302,Inter-strain
GA4805AA_00169,PF01497,Inter-strain
GA4805AA_03972,PF08240,Inter-strain
GA4805AA_01858,PF00710,Inter-strain
GA4805AA_02526,PF02080,Inter-strain
GA4805AA_00423,PF00348,Inter-strain
GA4805AA_00682,PF08349,Inter-strain
GA4805AA_00439,PF00574,Inter-strain
GA4805AA_04139,PF02706,Inter-strain
GA4805AA_01950,PF02075,Inter-strain
GA4805AA_04062,PF02518,Inter-strain
GA4805AA_00175,PF00132,Inter-strain
GA4805AA_03519,PF01509,Inter-strain
GA4805AA_02690,PF01546,Inter-strain
GA4805AA_00874,PF02403,Inter-strain
GA4805AA_03149,PF01494,Inter-strain
GA4805AA_03569,PF04131,Inter-strain
GA4805AA_04564,PF02313,Inter-strain
GA4805AA_01387,PF00528,Inter-strain
GA4805AA_02984,PF00175,Inter-strain
GA4805AA_02538,PF01370,Inter-strain
GA4805AA_01893,PF04851,Inter-strain
GA4805AA_00153,PF03749,Inter-strain
GA4805AA_03551,PF08282,Inter-strain
GA4805AA_03823,PF08753,Inter-strain
GA4805AA_04305,PF00004,Inter-strain
GA4805AA_04213,PF02416,Inter-strain
GA4805AA_01807,PF01409,Inter-strain
GA4805AA_03561,PF00912,Inter-strain
GA4805AA_03521,PF11987,Inter-strain
GA4805AA_00614,PF05036,Inter-strain
GA4805AA_01080,PF00881,Inter-strain
GA4805AA_02476,PF01266,Inter-strain
GA4805AA_01288,PF01266,Inter-strain
GA4805AA_00081,PF02775,Inter-strain
GA4805AA_02261,PF01634,Inter-strain
GA4805AA_00003,PF14821,Inter-strain
GA4805AA_01154,PF01783,Inter-strain
GA4805AA_04221,PF00725,Inter-strain
GA4805AA_01157,PF00698,Inter-strain
